name,version,directory,repository,summary,from package.json,from license,from readme
@babel/plugin-transform-async-to-generator,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-async-to-generator,(none),MIT,MIT,MIT,
@babel/plugin-transform-block-scoped-functions,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-block-scoped-functions,(none),MIT,MIT,MIT,
@babel/plugin-transform-block-scoping,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-block-scoping,(none),MIT,MIT,MIT,
@babel/plugin-transform-classes,7.2.2,/home/casey/homepage/node_modules/@babel/plugin-transform-classes,(none),MIT,MIT,MIT,
@babel/plugin-transform-computed-properties,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-computed-properties,(none),MIT,MIT,MIT,
@babel/plugin-transform-destructuring,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-destructuring,(none),MIT,MIT,MIT,
@babel/plugin-transform-dotall-regex,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-dotall-regex,https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-dotall-regex,MIT,MIT,MIT,
@babel/plugin-transform-duplicate-keys,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-duplicate-keys,(none),MIT,MIT,MIT,
@babel/plugin-transform-exponentiation-operator,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-exponentiation-operator,(none),MIT,MIT,MIT,
@babel/plugin-transform-for-of,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-for-of,(none),MIT,MIT,MIT,
@babel/plugin-transform-function-name,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-function-name,(none),MIT,MIT,MIT,
@babel/plugin-transform-literals,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-literals,(none),MIT,MIT,MIT,
@babel/plugin-transform-modules-amd,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-modules-amd,(none),MIT,MIT,MIT,
@babel/plugin-transform-modules-commonjs,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-modules-commonjs,(none),MIT,MIT,MIT,
@babel/plugin-transform-modules-systemjs,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-modules-systemjs,(none),MIT,MIT,MIT,
@babel/plugin-transform-modules-umd,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-modules-umd,(none),MIT,MIT,MIT,
@babel/plugin-transform-new-target,7.0.0,/home/casey/homepage/node_modules/@babel/plugin-transform-new-target,(none),MIT,MIT,MIT,
@babel/plugin-transform-object-super,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-object-super,(none),MIT,MIT,MIT,
@babel/plugin-transform-parameters,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-parameters,(none),MIT,MIT,MIT,
@babel/plugin-transform-react-display-name,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-react-display-name,(none),MIT,MIT,MIT,
@babel/plugin-transform-react-jsx,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-react-jsx,(none),MIT,MIT,MIT,
@babel/plugin-transform-react-jsx-self,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-react-jsx-self,(none),MIT,MIT,MIT,
@babel/plugin-transform-react-jsx-source,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-react-jsx-source,(none),MIT,MIT,MIT,
@babel/plugin-transform-regenerator,7.0.0,/home/casey/homepage/node_modules/@babel/plugin-transform-regenerator,(none),MIT,MIT,MIT,
@babel/plugin-transform-runtime,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-runtime,(none),MIT,MIT,MIT,
@babel/plugin-transform-shorthand-properties,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-shorthand-properties,(none),MIT,MIT,MIT,
@babel/plugin-transform-spread,7.2.2,/home/casey/homepage/node_modules/@babel/plugin-transform-spread,(none),MIT,MIT,MIT,
@babel/plugin-transform-sticky-regex,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-sticky-regex,(none),MIT,MIT,MIT,
@babel/plugin-transform-template-literals,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-template-literals,(none),MIT,MIT,MIT,
@babel/plugin-transform-typeof-symbol,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-typeof-symbol,(none),MIT,MIT,MIT,
@babel/plugin-transform-typescript,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-typescript,(none),MIT,MIT,MIT,
@babel/plugin-transform-unicode-regex,7.2.0,/home/casey/homepage/node_modules/@babel/plugin-transform-unicode-regex,(none),MIT,MIT,MIT,
@babel/polyfill,7.2.5,/home/casey/homepage/node_modules/@babel/polyfill,(none),MIT,MIT,MIT,
@babel/preset-env,7.2.3,/home/casey/homepage/node_modules/@babel/preset-env,(none),MIT,MIT,MIT,
@babel/preset-react,7.0.0,/home/casey/homepage/node_modules/@babel/preset-react,(none),MIT,MIT,MIT,
@babel/preset-typescript,7.1.0,/home/casey/homepage/node_modules/@babel/preset-typescript,(none),MIT,MIT,MIT,
@babel/runtime,7.2.0,/home/casey/homepage/node_modules/@babel/runtime,(none),MIT,MIT,MIT,
@babel/template,7.0.0-beta.44,/home/casey/homepage/node_modules/babel-eslint/node_modules/@babel/template,(none),MIT,MIT,,
@babel/template,7.2.2,/home/casey/homepage/node_modules/@babel/template,(none),MIT,MIT,MIT,
@babel/traverse,7.0.0-beta.44,/home/casey/homepage/node_modules/babel-eslint/node_modules/@babel/traverse,(none),MIT,MIT,,
@babel/traverse,7.2.3,/home/casey/homepage/node_modules/@babel/traverse,(none),MIT,MIT,MIT,
@babel/types,7.0.0-beta.44,/home/casey/homepage/node_modules/babel-eslint/node_modules/@babel/types,(none),MIT,MIT,,
@babel/types,7.2.2,/home/casey/homepage/node_modules/@babel/types,(none),MIT,MIT,MIT,
@moocar/lokijs,1.0.1,/home/casey/homepage/node_modules/@moocar/lokijs,https://github.com/Moocar/LokiJS,MIT,MIT,,MIT
@mrmlnc/readdir-enhanced,2.2.1,/home/casey/homepage/node_modules/@mrmlnc/readdir-enhanced,https://github.com/bigstickcarpet/readdir-enhanced,MIT,MIT,MIT,
@nodelib/fs.stat,1.1.3,/home/casey/homepage/node_modules/@nodelib/fs.stat,(none),MIT,MIT,,MIT
@reach/router,1.2.1,/home/casey/homepage/node_modules/@reach/router,https://github.com/reach/router,MIT,MIT,MIT,MIT
@sindresorhus/is,0.7.0,/home/casey/homepage/node_modules/@sindresorhus/is,(none),MIT,MIT,MIT,MIT
@types/configstore,2.1.1,/home/casey/homepage/node_modules/@types/configstore,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/debug,0.0.29,/home/casey/homepage/node_modules/@types/debug,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/events,1.2.0,/home/casey/homepage/node_modules/@types/events,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,MIT,
@types/get-port,0.0.4,/home/casey/homepage/node_modules/@types/get-port,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/glob,5.0.36,/home/casey/homepage/node_modules/@types/glob,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/history,4.7.2,/home/casey/homepage/node_modules/@types/history,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/minimatch,3.0.3,/home/casey/homepage/node_modules/@types/minimatch,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,MIT,
@types/mkdirp,0.3.29,/home/casey/homepage/node_modules/@types/mkdirp,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@types/node,7.10.2,/home/casey/homepage/node_modules/devcert-san/node_modules/@types/node,(none),MIT,MIT,MIT,
@types/node,10.12.18,/home/casey/homepage/node_modules/@types/node,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/prop-types,15.5.8,/home/casey/homepage/node_modules/@types/prop-types,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/q,1.5.1,/home/casey/homepage/node_modules/@types/q,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/reach__router,1.2.2,/home/casey/homepage/node_modules/@types/reach__router,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/react,16.7.18,/home/casey/homepage/node_modules/@types/react,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/tmp,0.0.32,/home/casey/homepage/node_modules/@types/tmp,https://wwwhub.com/DefinitelyTyped/DefinitelyTyped.git,MIT,MIT,,
@webassemblyjs/ast,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/ast,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/floating-point-hex-parser,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/floating-point-hex-parser,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/helper-api-error,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/helper-api-error,(none),MIT,MIT,MIT,
@webassemblyjs/helper-buffer,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/helper-buffer,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/helper-code-frame,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/helper-code-frame,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/helper-fsm,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/helper-fsm,(none),ISC;MIT,ISC,MIT,
@webassemblyjs/helper-module-context,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/helper-module-context,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/helper-wasm-bytecode,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/helper-wasm-bytecode,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/helper-wasm-section,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/helper-wasm-section,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/ieee754,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/ieee754,(none),MIT,MIT,MIT,
@webassemblyjs/leb128,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/leb128,(none),Apache;MIT,MIT,Apache,
@webassemblyjs/utf8,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/utf8,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/wasm-edit,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/wasm-edit,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/wasm-gen,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/wasm-gen,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/wasm-opt,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/wasm-opt,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/wasm-parser,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/wasm-parser,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/wast-parser,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/wast-parser,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@webassemblyjs/wast-printer,1.7.11,/home/casey/homepage/node_modules/@webassemblyjs/wast-printer,https://github.com/xtuc/webassemblyjs,MIT,MIT,MIT,
@xtuc/ieee754,1.2.0,/home/casey/homepage/node_modules/@xtuc/ieee754,http://github.com/feross/ieee754,BSD;BSD-3-Clause,BSD-3-Clause,,BSD
@xtuc/long,4.2.1,/home/casey/homepage/node_modules/@xtuc/long,https://github.com/dcodeIO/long.js,Apache;Apache-2.0,Apache-2.0,Apache,
abbrev,1.1.1,/home/casey/homepage/node_modules/abbrev,(none),ISC;MIT,ISC,ISC;MIT,
accepts,1.3.5,/home/casey/homepage/node_modules/accepts,(none),MIT,MIT,MIT,
acorn,3.3.0,/home/casey/homepage/node_modules/acorn-jsx/node_modules/acorn,(none),MIT,MIT,,
acorn,5.7.3,/home/casey/homepage/node_modules/acorn,https://github.com/acornjs/acorn,MIT,MIT,,
acorn,6.0.4,/home/casey/homepage/node_modules/espree/node_modules/acorn,(none),MIT,MIT,,
acorn-dynamic-import,3.0.0,/home/casey/homepage/node_modules/acorn-dynamic-import,https://github.com/kesne/acorn-dynamic-import,MIT,MIT,MIT,
acorn-jsx,3.0.1,/home/casey/homepage/node_modules/acorn-jsx,https://github.com/RReverser/acorn-jsx,MIT,MIT,,
acorn-jsx,5.0.1,/home/casey/homepage/node_modules/espree/node_modules/acorn-jsx,(none),MIT,MIT,,
address,1.0.3,/home/casey/homepage/node_modules/address,http://github.com/node-modules/address,MIT,MIT,MIT,
after,0.8.2,/home/casey/homepage/node_modules/after,(none),MIT,MIT,,MIT
ajv,5.5.2,/home/casey/homepage/node_modules/gatsby/node_modules/ajv,(none),MIT,MIT,MIT,
ajv,6.6.2,/home/casey/homepage/node_modules/ajv,https://github.com/epoberezkin/ajv,MIT,MIT,MIT,
ajv-errors,1.0.1,/home/casey/homepage/node_modules/ajv-errors,https://github.com/epoberezkin/ajv-errors,MIT,MIT,MIT,
ajv-keywords,2.1.1,/home/casey/homepage/node_modules/gatsby/node_modules/ajv-keywords,(none),MIT,MIT,MIT,
ajv-keywords,3.2.0,/home/casey/homepage/node_modules/ajv-keywords,https://github.com/epoberezkin/ajv-keywords,MIT,MIT,MIT,
alphanum-sort,1.0.2,/home/casey/homepage/node_modules/alphanum-sort,https://github.com/TrySound/alphanum-sort,MIT,MIT,,MIT
ansi-align,2.0.0,/home/casey/homepage/node_modules/ansi-align,https://github.com/nexdrew/ansi-align,ISC,ISC,,ISC
ansi-colors,3.2.3,/home/casey/homepage/node_modules/ansi-colors,(none),MIT,MIT,MIT,
ansi-escapes,3.1.0,/home/casey/homepage/node_modules/ansi-escapes,(none),MIT,MIT,MIT,MIT
ansi-html,0.0.7,/home/casey/homepage/node_modules/ansi-html,http://github.com/Tjatse/ansi-html,Apache;Apache-2.0,Apache-2.0,Apache,
ansi-regex,2.1.1,/home/casey/homepage/node_modules/ansi-regex,(none),MIT,MIT,MIT,MIT
ansi-regex,3.0.0,/home/casey/homepage/node_modules/eslint/node_modules/ansi-regex,(none),MIT,MIT,MIT,MIT
ansi-regex,4.0.0,/home/casey/homepage/node_modules/eslint/node_modules/inquirer/node_modules/ansi-regex,(none),MIT,MIT,MIT,MIT
ansi-styles,2.2.1,/home/casey/homepage/node_modules/react-dev-utils/node_modules/ansi-styles,(none),MIT,MIT,MIT,MIT
ansi-styles,3.2.1,/home/casey/homepage/node_modules/ansi-styles,(none),MIT,MIT,MIT,MIT
ansicolors,0.3.2,/home/casey/homepage/node_modules/ansicolors,http://github.com/thlorenz/ansicolors,MIT,MIT,,
any-promise,1.3.0,/home/casey/homepage/node_modules/any-promise,https://github.com/kevinbeaty/any-promise,MIT,MIT,,
anymatch,1.3.2,/home/casey/homepage/node_modules/gatsby-source-filesystem/node_modules/anymatch,(none),ISC,ISC,ISC,
anymatch,2.0.0,/home/casey/homepage/node_modules/anymatch,https://github.com/micromatch/anymatch,ISC,ISC,ISC,
apollo-link,1.2.6,/home/casey/homepage/node_modules/apollo-link,https://github.com/apollographql/apollo-link,MIT,MIT,,
apollo-utilities,1.0.27,/home/casey/homepage/node_modules/apollo-utilities,https://github.com/apollographql/apollo-client,MIT,MIT,MIT,
aproba,1.2.0,/home/casey/homepage/node_modules/aproba,https://github.com/iarna/aproba,ISC,ISC,,
arch,2.1.1,/home/casey/homepage/node_modules/arch,http://github.com/feross/arch,MIT,MIT,MIT,
archive-type,4.0.0,/home/casey/homepage/node_modules/archive-type,(none),MIT,MIT,MIT,MIT
archy,1.0.0,/home/casey/homepage/node_modules/archy,http://github.com/substack/node-archy,MIT,MIT,MIT,MIT
are-we-there-yet,1.1.5,/home/casey/homepage/node_modules/are-we-there-yet,https://github.com/iarna/are-we-there-yet,ISC,ISC,,
argparse,1.0.10,/home/casey/homepage/node_modules/argparse,(none),MIT,MIT,MIT,MIT
aria-query,3.0.0,/home/casey/homepage/node_modules/aria-query,https://github.com/A11yance/aria-query,Apache;Apache-2.0,Apache-2.0,Apache,
arr-diff,2.0.0,/home/casey/homepage/node_modules/gatsby-source-filesystem/node_modules/arr-diff,(none),MIT,MIT,MIT,MIT
arr-diff,4.0.0,/home/casey/homepage/node_modules/arr-diff,(none),MIT,MIT,MIT,
arr-flatten,1.1.0,/home/casey/homepage/node_modules/arr-flatten,(none),MIT,MIT,MIT,
arr-union,3.1.0,/home/casey/homepage/node_modules/arr-union,(none),MIT,MIT,MIT,
array-filter,0.0.1,/home/casey/homepage/node_modules/array-filter,http://github.com/juliangruber/array-filter,MIT,MIT,,MIT
array-find-index,1.0.2,/home/casey/homepage/node_modules/array-find-index,(none),MIT,MIT,MIT,MIT
array-flatten,1.1.1,/home/casey/homepage/node_modules/array-flatten,http://github.com/blakeembrey/array-flatten,MIT,MIT,MIT,MIT
array-flatten,2.1.2,/home/casey/homepage/node_modules/bonjour/node_modules/array-flatten,(none),MIT,MIT,MIT,MIT
array-includes,3.0.3,/home/casey/homepage/node_modules/array-includes,http://github.com/ljharb/array-includes,MIT,MIT,MIT,
array-iterate,1.1.2,/home/casey/homepage/node_modules/array-iterate,(none),MIT,MIT,MIT,
array-map,0.0.0,/home/casey/homepage/node_modules/array-map,http://github.com/substack/array-map,MIT,MIT,MIT,MIT
array-reduce,0.0.0,/home/casey/homepage/node_modules/array-reduce,http://github.com/substack/array-reduce,MIT,MIT,MIT,MIT
array-union,1.0.2,/home/casey/homepage/node_modules/array-union,(none),MIT,MIT,MIT,MIT
array-uniq,1.0.3,/home/casey/homepage/node_modules/array-uniq,(none),MIT,MIT,MIT,MIT
array-uniq,2.0.0,/home/casey/homepage/node_modules/find-versions/node_modules/array-uniq,(none),MIT,MIT,MIT,MIT
array-unique,0.2.1,/home/casey/homepage/node_modules/gatsby-source-filesystem/node_modules/array-unique,(none),MIT,MIT,MIT,MIT
array-unique,0.3.2,/home/casey/homepage/node_modules/array-unique,(none),MIT,MIT,MIT,
arraybuffer.slice,0.0.7,/home/casey/homepage/node_modules/arraybuffer.slice,git@github.com:rase-/arraybuffer.slice,MIT,MIT,,MIT
arrify,1.0.1,/home/casey/homepage/node_modules/arrify,(none),MIT,MIT,MIT,MIT
asap,2.0.6,/home/casey/homepage/node_modules/asap,https://github.com/kriskowal/asap,MIT,MIT,,MIT
asn1,0.2.4,/home/casey/homepage/node_modules/asn1,http://github.com/joyent/node-asn1,MIT,MIT,,
asn1.js,4.10.1,/home/casey/homepage/node_modules/asn1.js,git@github.com:indutny/asn1.js,MIT,MIT,,MIT
assert,1.4.1,/home/casey/homepage/node_modules/assert,http://github.com/defunctzombie/commonjs-assert,MIT,MIT,,
assert-plus,1.0.0,/home/casey/homepage/node_modules/assert-plus,https://github.com/mcavage/node-assert-plus,MIT,MIT,,MIT
assign-symbols,1.0.0,/home/casey/homepage/node_modules/assign-symbols,(none),MIT,MIT,MIT,MIT
ast-types-flow,0.0.7,/home/casey/homepage/node_modules/ast-types-flow,https://github.com/kyldvs/ast-types-flow,ISC,ISC,,
astral-regex,1.0.0,/home/casey/homepage/node_modules/astral-regex,(none),MIT,MIT,MIT,MIT
async,1.5.2,/home/casey/homepage/node_modules/async,https://github.com/caolan/async,MIT,MIT,,
async,2.6.1,/home/casey/homepage/node_modules/gatsby-plugin-sharp/node_modules/async,(none),MIT,MIT,,
async-each,1.0.1,/home/casey/homepage/node_modules/async-each,(none),MIT,MIT,,MIT
async-limiter,1.0.0,/home/casey/homepage/node_modules/async-limiter,(none),MIT,MIT,MIT,
asynckit,0.4.0,/home/casey/homepage/node_modules/asynckit,https://github.com/alexindigo/asynckit,MIT,MIT,MIT,MIT
atob,2.1.2,/home/casey/homepage/node_modules/atob,http://git.coolaj86.com/coolaj86/atob.js,(MIT OR Apache-2.0);Apache;MIT,(MIT OR Apache-2.0),Apache;MIT,MIT
autoprefixer,8.6.5,/home/casey/homepage/node_modules/autoprefixer,(none),MIT,MIT,MIT,
aws-sign2,0.7.0,/home/casey/homepage/node_modules/aws-sign2,https://github.com/mikeal/aws-sign,Apache;Apache-2.0,Apache-2.0,Apache,
aws4,1.8.0,/home/casey/homepage/node_modules/aws4,https://github.com/mhart/aws4,MIT,MIT,,
axobject-query,2.0.2,/home/casey/homepage/node_modules/axobject-query,https://github.com/A11yance/axobject-query,Apache;Apache-2.0,Apache-2.0,Apache,
babel-code-frame,6.26.0,/home/casey/homepage/node_modules/babel-code-frame,(none),MIT,MIT,,
babel-core,7.0.0-bridge.0,/home/casey/homepage/node_modules/babel-core,(none),MIT,MIT,,
babel-eslint,8.2.6,/home/casey/homepage/node_modules/babel-eslint,https://github.com/babel/babel-eslint,MIT,MIT,MIT,
babel-extract-comments,1.0.0,/home/casey/homepage/node_modules/babel-extract-comments,(none),MIT,MIT,MIT,MIT
babel-generator,6.26.1,/home/casey/homepage/node_modules/babel-generator,(none),MIT,MIT,,
babel-helper-builder-react-jsx,6.26.0,/home/casey/homepage/node_modules/babel-helper-builder-react-jsx,(none),MIT,MIT,,
